Journal,ISSN,Article Title,Language,Year,Month,Day,Number of Pages,DOI,Number of Authors
IEEE Access,21693536,Obstacle Detection and Collision Avoidance for a UAV With Complementary Low-Cost Sensors,en,2015,1,1,11,https://doi.org/10.1109/access.2015.2432455,3
IEEE Access,21693536,High-Performance Extreme Learning Machines: A Complete Toolbox for Big Data Applications,en,2015,1,1,15,https://doi.org/10.1109/access.2015.2450498,4
IEEE Access,21693536,Recent Advances in Industrial Wireless Sensor Networks Toward Efficient Management in IoT,en,2015,1,1,16,https://doi.org/10.1109/access.2015.2435000,4
IEEE Access,21693536,A Cloud-Based Smart-Parking System Based on Internet-of-Things Technologies,en,2015,1,1,11,https://doi.org/10.1109/access.2015.2477299,5
IEEE Access,21693536,A Multi-Objective Optimization Scheduling Method Based on the Ant Colony Algorithm in Cloud Computing,en,2015,1,1,13,https://doi.org/10.1109/access.2015.2508940,5
IEEE Access,21693536,The Internet of Things for Health Care: A Comprehensive Survey,en,2015,1,1,31,https://doi.org/10.1109/access.2015.2437951,5
IEEE Access,21693536,Toward Social Internet of Vehicles: Concept Architecture and Applications,en,2015,1,1,15,https://doi.org/10.1109/access.2015.2416657,3
IEEE Access,21693536,Electric Vehicle Charging on Residential Distribution Systems: Impacts and Mitigations,en,2015,1,1,23,https://doi.org/10.1109/access.2015.2476996,2
International Journal of Molecular Sciences,14220067,Iron Oxide and Titanium Dioxide Nanoparticle Effects on Plant Performance and Root Associated Microbes,en,2015,10,5,21,https://doi.org/10.3390/ijms161023630,8
International Journal of Molecular Sciences,14220067,Heavy Metal Induced Antibiotic Resistance in Bacterium LSJC7,en,2015,9,29,15,https://doi.org/10.3390/ijms161023390,6
International Journal of Molecular Sciences,14220067,No Effect of Omega-3 Fatty Acid Supplementation on Cognition and Mood in Individuals with Cognitive Impairment and Probable Alzheimer’s Disease: A Randomised Controlled Trial,en,2015,10,16,14,https://doi.org/10.3390/ijms161024600,4
International Journal of Molecular Sciences,14220067,Techno-Economic Evaluation of Biodiesel Production from Waste Cooking Oil—A Case Study of Hong Kong,en,2015,2,18,10,https://doi.org/10.3390/ijms16034362,3
International Journal of Molecular Sciences,14220067,Chromium-Induced Ultrastructural Changes and Oxidative Stress in Roots of Arabidopsis thaliana,en,2015,7,13,20,https://doi.org/10.3390/ijms160715852,4
International Journal of Molecular Sciences,14220067,Major Peptides from Amaranth (Amaranthus cruentus) Protein Inhibit HMG-CoA Reductase Activity,en,2015,2,16,11,https://doi.org/10.3390/ijms16024150,5
International Journal of Molecular Sciences,14220067,Ferulic Acid Exerts Anti-Angiogenic and Anti-Tumor Activity by Targeting Fibroblast Growth Factor Receptor 1-Mediated Angiogenesis,en,2015,10,12,21,https://doi.org/10.3390/ijms161024011,3
International Journal of Molecular Sciences,14220067,Mechanical and Anticorrosive Properties of Graphene/Epoxy Resin Composites Coating Prepared by in-Situ Method,en,2015,1,20,13,https://doi.org/10.3390/ijms16012239,9
International Journal of Molecular Sciences,14220067,MicroRNAs in Salivary Exosome as Potential Biomarkers of Aging,en,2015,9,7,16,https://doi.org/10.3390/ijms160921294,10
International Journal of Molecular Sciences,14220067,Long Noncoding RNA MALAT-1 Enhances Stem Cell-Like Phenotypes in Pancreatic Cancer Cells,en,2015,3,24,17,https://doi.org/10.3390/ijms16046677,8
International Journal of Molecular Sciences,14220067,Nutritional Characterization and Phenolic Profiling of Moringa oleifera Leaves Grown in Chad Sahrawi Refugee Camps and Haiti,en,2015,8,12,15,https://doi.org/10.3390/ijms160818923,13
International Journal of Molecular Sciences,14220067,Response of Different Genotypes of Faba Bean Plant to Drought Stress,en,2015,5,5,14,https://doi.org/10.3390/ijms160510214,8
International Journal of Molecular Sciences,14220067,Antiproliferative and Antioxidant Properties of Anthocyanin Rich Extracts from Blueberry and Blackcurrant Juice,en,2015,1,22,14,https://doi.org/10.3390/ijms16022352,5
International Journal of Molecular Sciences,14220067,Biogas Production from Sugarcane Waste: Assessment on Kinetic Challenges for Process Designing,en,2015,8,31,19,https://doi.org/10.3390/ijms160920685,7
International Journal of Molecular Sciences,14220067,3D-Printed ABS and PLA Scaffolds for Cartilage and Nucleus Pulposus Tissue Regeneration,en,2015,7,3,18,https://doi.org/10.3390/ijms160715118,5
International Journal of Molecular Sciences,14220067,Bacterial Cellulose Production from Industrial Waste and by-Product Streams,en,2015,7,1,18,https://doi.org/10.3390/ijms160714832,9
International Journal of Molecular Sciences,14220067,Poly-ε-caprolactone Coated and Functionalized Porous Titanium and Magnesium Implants for Enhancing Angiogenesis in Critically Sized Bone Defects,en,2015,12,22,16,https://doi.org/10.3390/ijms17010001,11
International Journal of Molecular Sciences,14220067,Alternative Bio-Based Solvents for Extraction of Fat and Oils: Solubility Prediction Global Yield Extraction Kinetics Chemical Composition and Cost of Manufacturing,en,2015,4,15,24,https://doi.org/10.3390/ijms16048430,7
International Journal of Molecular Sciences,14220067,Dimethyl Fumarate Protects Neural Stem/Progenitor Cells and Neurons from Oxidative Damage through Nrf2-ERK1/2 MAPK Pathway,en,2015,6,17,23,https://doi.org/10.3390/ijms160613885,9
International Journal of Molecular Sciences,14220067,Rhizobacterial Strain Bacillus megaterium BOFC15 Induces Cellular Polyamine Changes that Improve Plant Growth and Drought Resistance,en,2016,6,21,18,https://doi.org/10.3390/ijms17060976,7
IEEE Access,21693536,4G/5G Multiple Antennas for Future Multi-Mode Smartphone Applications,en,2016,1,1,8,https://doi.org/10.1109/access.2016.2582786,5
IEEE Access,21693536,Internet of Drones,en,2016,1,1,15,https://doi.org/10.1109/access.2016.2537208,3
IEEE Access,21693536,Survey of RF Communications and Sensing Convergence Research,en,2016,12,13,19,https://doi.org/10.1109/access.2016.2639038,3
IEEE Access,21693536,Dynamic User Clustering and Power Allocation for Uplink and Downlink Non-Orthogonal Multiple Access (NOMA) Systems,en,2016,1,1,19,https://doi.org/10.1109/access.2016.2604821,3
IEEE Access,21693536,Reversible data hiding: Advances in the past two decades,en,2016,1,1,28,https://doi.org/10.1109/access.2016.2573308,5
IEEE Access,21693536,5G Backhaul Challenges and Emerging Research Directions: A Survey,en,2016,1,1,24,https://doi.org/10.1109/access.2016.2556011,4
IEEE Access,21693536,Internet of Vehicles: Motivation Layered Architecture Network Model Challenges and Future Aspects,en,2016,1,1,18,https://doi.org/10.1109/access.2016.2603219,7
IEEE Access,21693536,Hand Gesture Recognition Using Micro-Doppler Signatures With Convolutional Neural Network,en,2016,1,1,6,https://doi.org/10.1109/access.2016.2617282,2
IEEE Access,21693536,Energy-Efficient Offloading for Mobile Edge Computing in 5G Heterogeneous Networks,en,2016,1,1,12,https://doi.org/10.1109/access.2016.2597169,9
IEEE Access,21693536,Internet of Things and Big Data Analytics for Smart and Connected Communities,en,2016,1,1,8,https://doi.org/10.1109/access.2016.2529723,4
IEEE Access,21693536,Hybrid MIMO Architectures for Millimeter Wave Communications: Phase Shifters or Switches?,en,2016,1,1,21,https://doi.org/10.1109/access.2015.2514261,5
IEEE Access,21693536,Underwater Optical Wireless Communication,en,2016,1,1,30,https://doi.org/10.1109/access.2016.2552538,2
IEEE Access,21693536,Blockchains and Smart Contracts for the Internet of Things,en,2016,1,1,12,https://doi.org/10.1109/access.2016.2566339,2
IEEE Access,21693536,A Perspective on Deep Imaging,en,2016,1,1,11,https://doi.org/10.1109/access.2016.2624938,1
IEEE Access,21693536,A Secure System For Pervasive Social Network-Based Healthcare,en,2016,1,1,12,https://doi.org/10.1109/access.2016.2645904,3
IEEE Access,21693536,A Survey on High Mobility Wireless Communications: Challenges Opportunities and Solutions,en,2016,1,1,27,https://doi.org/10.1109/access.2016.2518085,2
IEEE Access,21693536,Big Privacy: Challenges and Opportunities of Privacy Study in the Age of Big Data,en,2016,1,1,13,https://doi.org/10.1109/access.2016.2577036,1
International Journal of Molecular Sciences,14220067,Mitochondria Synthesize Melatonin to Ameliorate Its Function and Improve Mice Oocyte’s Quality under in Vitro Conditions,en,2016,6,14,16,https://doi.org/10.3390/ijms17060939,12
International Journal of Molecular Sciences,14220067,Effect of a Prebiotic Formulation on Frailty Syndrome: A Randomized Double-Blind Clinical Trial,en,2016,6,14,12,https://doi.org/10.3390/ijms17060932,10
International Journal of Molecular Sciences,14220067,CD86+/CD206+ Diametrically Polarized Tumor-Associated Macrophages Predict Hepatocellular Carcinoma Patient Prognosis,en,2016,3,1,12,https://doi.org/10.3390/ijms17030320,8
International Journal of Molecular Sciences,14220067,SARS Coronavirus Papain-Like Protease Inhibits the TLR7 Signaling Pathway through Removing Lys63-Linked Polyubiquitination of TRAF3 and TRAF6,en,2016,5,5,10,https://doi.org/10.3390/ijms17050678,9
International Journal of Molecular Sciences,14220067,Ruscogenin Attenuates Cerebral Ischemia-Induced Blood-Brain Barrier Dysfunction by Suppressing TXNIP/NLRP3 Inflammasome Activation and the MAPK Pathway,en,2016,8,29,17,https://doi.org/10.3390/ijms17091418,11
International Journal of Molecular Sciences,14220067,Free Radical Scavenging and Cellular Antioxidant Properties of Astaxanthin,en,2016,1,14,14,https://doi.org/10.3390/ijms17010103,9
International Journal of Molecular Sciences,14220067,Salivary Microbiome Diversity in Caries-Free and Caries-Affected Children,en,2016,11,25,13,https://doi.org/10.3390/ijms17121978,4
International Journal of Molecular Sciences,14220067,The Effect of Hydrofluoric Acid Etching Duration on the Surface Micromorphology Roughness and Wettability of Dental Ceramics,en,2016,5,27,17,https://doi.org/10.3390/ijms17060822,5
International Journal of Molecular Sciences,14220067,Is It Reliable to Use Common Molecular Docking Methods for Comparing the Binding Affinities of Enantiomer Pairs for Their Protein Target?,en,2016,4,20,15,https://doi.org/10.3390/ijms17040525,2
International Journal of Molecular Sciences,14220067,Home-Processed Red Beetroot (Beta vulgaris L.) Products: Changes in Antioxidant Properties and Bioaccessibility,en,2016,6,1,13,https://doi.org/10.3390/ijms17060858,6
International Journal of Molecular Sciences,14220067,The Chemical Composition of Essential Oils from Cinnamomum camphora and Their Insecticidal Activity against the Stored Product Pests,en,2016,11,4,9,https://doi.org/10.3390/ijms17111836,7
International Journal of Molecular Sciences,14220067,Impact of Prematurity and Perinatal Antibiotics on the Developing Intestinal Microbiota: A Functional Inference Study,en,2016,4,29,14,https://doi.org/10.3390/ijms17050649,11
International Journal of Molecular Sciences,14220067,Intra-Articular Injections of Platelet-Rich Plasma versus Hyaluronic Acid in the Treatment of Osteoarthritic Knee Pain: A Randomized Clinical Trial in the Context of the Spanish National Health Care System,en,2016,7,2,13,https://doi.org/10.3390/ijms17071064,10
International Journal of Molecular Sciences,14220067,Plastoglobule-Targeting Competence of a Putative Transit Peptide Sequence from Rice Phytoene Synthase 2 in Plastids,en,2016,12,22,13,https://doi.org/10.3390/ijms18010018,5
International Journal of Molecular Sciences,14220067,Sodium Butyrate Promotes Reassembly of Tight Junctions in Caco-2 Monolayers Involving Inhibition of MLCK/MLC2 Pathway and Phosphorylation of PKCβ2,en,2016,10,10,12,https://doi.org/10.3390/ijms17101696,9
International Journal of Molecular Sciences,14220067,Preparation of Pure and Stable Chitosan Nanofibers by Electrospinning in the Presence of Poly(ethylene oxide),en,2016,10,26,16,https://doi.org/10.3390/ijms17111790,3
International Journal of Molecular Sciences,14220067,Extraction Structural Characterization and Potential Antioxidant Activity of the Polysaccharides from Four Seaweeds,en,2016,11,28,17,https://doi.org/10.3390/ijms17121988,4
International Journal of Molecular Sciences,14220067,Systematic Identification Evolution and Expression Analysis of the Zea mays PHT1 Gene Family Reveals Several New Members Involved in Root Colonization by Arbuscular Mycorrhizal Fungi,en,2016,6,13,18,https://doi.org/10.3390/ijms17060930,10
International Journal of Molecular Sciences,14220067,CD11c+ CD8+ T Cells Reduce Renal Fibrosis Following Ureteric Obstruction by Inducing Fibroblast Apoptosis,en,2016,12,22,12,https://doi.org/10.3390/ijms18010001,6
IEEE Access,21693536,Wireless Chaos-Based Communication Systems: A Comprehensive Survey,en,2016,1,1,28,https://doi.org/10.1109/access.2016.2572730,1
IEEE Access,21693536,DWT Based Detection of Epileptic Seizure From EEG Signals Using Naive Bayes and k-NN Classifiers,en,2016,1,1,12,https://doi.org/10.1109/access.2016.2585661,2
IEEE Access,21693536,Non-Orthogonal Multiple Access (NOMA) for Downlink Multiuser MIMO Systems: User Clustering Beamforming and Power Allocation,en,2016,12,30,13,https://doi.org/10.1109/access.2016.2646183,3
IEEE Access,21693536,Network Traffic Classifier With Convolutional and Recurrent Neural Networks for Internet of Things,en,2017,1,1,9,https://doi.org/10.1109/access.2017.2747560,4
IEEE Access,21693536,DC Microgrid Technology: System Architectures AC Grid Interfaces Grounding Schemes Power Quality Communication Networks Applications and Standardizations Aspects,en,2017,1,1,27,https://doi.org/10.1109/access.2017.2705914,3
IEEE Access,21693536,Critical Review on the Battery State of Charge Estimation Methods for Electric Vehicles,en,2017,12,6,12,https://doi.org/10.1109/access.2017.2780258,5
IEEE Access,21693536,Index Modulation Techniques for Next-Generation Wireless Networks,en,2017,1,1,54,https://doi.org/10.1109/access.2017.2737528,6
IEEE Access,21693536,Action Recognition in Video Sequences using Deep Bi-Directional LSTM With CNN Features,en,2017,11,28,12,https://doi.org/10.1109/access.2017.2778011,5
IEEE Access,21693536,Deep Learning Applications in Medical Image Analysis,en,2017,12,29,15,https://doi.org/10.1109/access.2017.2788044,4
IEEE Access,21693536,A Survey on the Edge Computing for the Internet of Things,en,2017,11,29,20,https://doi.org/10.1109/access.2017.2778504,7
IEEE Access,21693536,A Software Defined Fog Node Based Distributed Blockchain Cloud Architecture for IoT,en,2017,9,29,10,https://doi.org/10.1109/access.2017.2757955,3
IEEE Access,21693536,A Survey on 5G Networks for the Internet of Things: Communication Technologies and Challenges,en,2017,12,4,29,https://doi.org/10.1109/access.2017.2779844,4
IEEE Access,21693536,LSTM Fully Convolutional Networks for Time Series Classification,en,2017,12,4,8,https://doi.org/10.1109/access.2017.2779939,4
IEEE Access,21693536,Disease Prediction by Machine Learning Over Big Data From Healthcare Communities,en,2017,1,1,11,https://doi.org/10.1109/access.2017.2694446,5
IEEE Access,21693536,Digital Twin Shop-Floor: A New Shop-Floor Paradigm Towards Smart Manufacturing,en,2017,1,1,10,https://doi.org/10.1109/access.2017.2756069,2
IEEE Access,21693536,MeDShare: Trust-Less Medical Data Sharing Among Cloud Service Providers via Blockchain,en,2017,1,1,11,https://doi.org/10.1109/access.2017.2730843,6
IEEE Access,21693536,Smart Factory of Industry 4.0: Key Technologies Application Case and Challenges,en,2017,12,14,15,https://doi.org/10.1109/access.2017.2783682,6
IEEE Access,21693536,Internet of Things for Smart Healthcare: Technologies Challenges and Opportunities,en,2017,1,1,24,https://doi.org/10.1109/access.2017.2775180,3
IEEE Access,21693536,A Survey on Mobile Edge Networks: Convergence of Computing Caching and Communications,en,2017,1,1,23,https://doi.org/10.1109/access.2017.2685434,6
IEEE Access,21693536,Big IoT Data Analytics: Architecture Opportunities and Open Research Challenges,en,2017,1,1,15,https://doi.org/10.1109/access.2017.2689040,7
IEEE Access,21693536,A Deep Learning Approach for Intrusion Detection Using Recurrent Neural Networks,en,2017,1,1,8,https://doi.org/10.1109/access.2017.2762418,4
IEEE Access,21693536,Data Mining and Analytics in the Process Industry: The Role of Machine Learning,en,2017,1,1,27,https://doi.org/10.1109/access.2017.2756872,4
IEEE Access,21693536,Machine Learning With Big Data: Challenges and Approaches,en,2017,1,1,22,https://doi.org/10.1109/access.2017.2696365,4
International Journal of Molecular Sciences,14220067,6-Paradol and 6-Shogaol the Pungent Compounds of Ginger Promote Glucose Utilization in Adipocytes and Myotubes and 6-Paradol Reduces Blood Glucose in High-Fat Diet-Fed Mice,en,2017,1,17,18,https://doi.org/10.3390/ijms18010168,9
International Journal of Molecular Sciences,14220067,UVA UVB Light and Methyl Jasmonate Alone or Combined Redirect the Biosynthesis of Glucosinolates Phenolics Carotenoids and Chlorophylls in Broccoli Sprouts,en,2017,11,4,20,https://doi.org/10.3390/ijms18112330,5
International Journal of Molecular Sciences,14220067,Identification of Key Candidate Genes and Pathways in Colorectal Cancer by Integrated Bioinformatical Analysis,en,2017,3,28,15,https://doi.org/10.3390/ijms18040722,4
International Journal of Molecular Sciences,14220067,Clock Genes and Altered Sleep–Wake Rhythms: Their Role in the Development of Psychiatric Disorders,en,2017,4,29,22,https://doi.org/10.3390/ijms18050938,4
International Journal of Molecular Sciences,14220067,Tentative Characterization of Polyphenolic Compounds in the Male Flowers of Phoenix dactylifera by Liquid Chromatography Coupled with Mass Spectrometry and DFT,en,2017,3,2,18,https://doi.org/10.3390/ijms18030512,8
International Journal of Molecular Sciences,14220067,Characterization of hsa_circ_0004277 as a New Biomarker for Acute Myeloid Leukemia via Circular RNA Profile and Bioinformatics Analysis,en,2017,3,9,13,https://doi.org/10.3390/ijms18030597,7
International Journal of Molecular Sciences,14220067,Anti-Inflammatory Properties of Irisin Mediator of Physical Activity Are Connected with TLR4/MyD88 Signaling Pathway Activation,en,2017,3,25,11,https://doi.org/10.3390/ijms18040701,3
International Journal of Molecular Sciences,14220067,Evaluation of Not-Activated and Activated PRP in Hair Loss Treatment: Role of Growth Factor and Cytokine Concentrations Obtained by Different Collection Systems,en,2017,2,14,16,https://doi.org/10.3390/ijms18020408,9
International Journal of Molecular Sciences,14220067,Melatonin and Hippo Pathway: Is There Existing Cross-Talk?,en,2017,9,6,26,https://doi.org/10.3390/ijms18091913,4
International Journal of Molecular Sciences,14220067,Nanosecond-Pulsed DBD Plasma-Generated Reactive Oxygen Species Trigger Immunogenic Cell Death in A549 Lung Carcinoma Cells through Intracellular Oxidative Stress,en,2017,5,3,24,https://doi.org/10.3390/ijms18050966,8
International Journal of Molecular Sciences,14220067,Inhibition of Autophagy Promotes Salinomycin-Induced Apoptosis via Reactive Oxygen Species-Mediated PI3K/AKT/mTOR and ERK/p38 MAPK-Dependent Signaling in Human Prostate Cancer Cells,en,2017,5,18,13,https://doi.org/10.3390/ijms18051088,9
International Journal of Molecular Sciences,14220067,Pneumococcal Colonization in the Familial Context and Implications for Anti-Pneumococcal Immunization in Adults: Results from the BINOCOLO Project in Sicily,en,2017,1,6,15,https://doi.org/10.3390/ijms18010105,6
International Journal of Molecular Sciences,14220067,Osteocalcin Mediates Biomineralization during Osteogenic Maturation in Human Mesenchymal Stromal Cells,en,2017,1,17,13,https://doi.org/10.3390/ijms18010159,6
International Journal of Molecular Sciences,14220067,Polyphenol Oxidases in Crops: Biochemical Physiological and Genetic Aspects,en,2017,2,10,16,https://doi.org/10.3390/ijms18020377,7
International Journal of Molecular Sciences,14220067,Structural Differences between the Lignin-Carbohydrate Complexes (LCCs) from 2- and 24-Month-Old Bamboo (Neosinocalamus affinis),en,2017,12,21,14,https://doi.org/10.3390/ijms19010001,7
International Journal of Molecular Sciences,14220067,Effects of Silver Nanoparticles on Multiple Drug-Resistant Strains of Staphylococcus aureus and Pseudomonas aeruginosa from Mastitis-Infected Goats: An Alternative Approach for Antimicrobial Therapy,en,2017,3,6,22,https://doi.org/10.3390/ijms18030569,3
International Journal of Molecular Sciences,14220067,Short-Term Local Adaptation of Historical Common Bean (Phaseolus vulgaris L.) Varieties and Implications for In Situ Management of Bean Diversity,en,2017,2,28,19,https://doi.org/10.3390/ijms18030493,9
International Journal of Molecular Sciences,14220067,“Bligh and Dyer” and Folch Methods for Solid–Liquid–Liquid Extraction of Lipids from Microorganisms. Comprehension of Solvatation Mechanisms and towards Substitution with Alternative Solvents,en,2017,3,27,21,https://doi.org/10.3390/ijms18040708,5
International Journal of Molecular Sciences,14220067,Designing Smart Biomaterials for Tissue Engineering,en,2017,12,21,14,https://doi.org/10.3390/ijms19010017,2
International Journal of Molecular Sciences,14220067,Characterization of ACE and ACE2 Expression within Different Organs of the NOD Mouse,en,2017,3,5,13,https://doi.org/10.3390/ijms18030563,5
IEEE Access,21693536,EduCTX: A Blockchain-Based Higher Education Credit Platform,en,2018,1,1,16,https://doi.org/10.1109/access.2018.2789929,5
IEEE Access,21693536,Threat of Adversarial Attacks on Deep Learning in Computer Vision: A Survey,en,2018,1,1,21,https://doi.org/10.1109/access.2018.2807385,2
IEEE Access,21693536,Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison,en,2018,1,1,9,https://doi.org/10.1109/access.2018.2793265,2
IEEE Access,21693536,Machine Learning and Deep Learning Methods for Cybersecurity,en,2018,1,1,17,https://doi.org/10.1109/access.2018.2836950,9
IEEE Access,21693536,5G Wireless Network Slicing for eMBB URLLC and mMTC: A Communication-Theoretic View,en,2018,1,1,15,https://doi.org/10.1109/access.2018.2872781,4
IEEE Access,21693536,State-of-the-Art and Energy Management System of Lithium-Ion Batteries in Electric Vehicle Applications: Issues and Recommendations,en,2018,1,1,17,https://doi.org/10.1109/access.2018.2817655,5
IEEE Access,21693536,Benchmark Analysis of Representative Deep Neural Network Architectures,en,2018,1,1,8,https://doi.org/10.1109/access.2018.2877890,4
IEEE Access,21693536,Multi-Agent Systems: A Survey,en,2018,1,1,21,https://doi.org/10.1109/access.2018.2831228,3
IEEE Access,21693536,Identification of Maize Leaf Diseases Using Improved Deep Convolutional Neural Networks,en,2018,1,1,8,https://doi.org/10.1109/access.2018.2844405,5
IEEE Access,21693536,Fog Computing: Survey of Trends Architectures Requirements and Research Directions,en,2018,1,1,30,https://doi.org/10.1109/access.2018.2866491,7
IEEE Access,21693536,A Survey of Deep Learning: Platforms Applications and Emerging Research Trends,en,2018,1,1,22,https://doi.org/10.1109/access.2018.2830661,2
IEEE Access,21693536,Performance Comparison of Support Vector Machine Random Forest and Extreme Learning Machine for Intrusion Detection,en,2018,1,1,7,https://doi.org/10.1109/access.2018.2841987,4
IEEE Access,21693536,Review of Energy Storage System Technologies in Microgrid Applications: Issues and Challenges,en,2018,1,1,22,https://doi.org/10.1109/access.2018.2841407,6
IEEE Access,21693536,A Survey on Industrial Internet of Things: A Cyber-Physical Systems Perspective,en,2018,1,1,22,https://doi.org/10.1109/access.2018.2884906,4
IEEE Access,21693536,Secure Medical Data Transmission Model for IoT-Based Healthcare Systems,en,2018,1,1,13,https://doi.org/10.1109/access.2018.2817615,6
IEEE Access,21693536,Performance Analysis of Google Colaboratory as a Tool for Accelerating Deep Learning Applications,en,2018,1,1,9,https://doi.org/10.1109/access.2018.2874767,6
IEEE Access,21693536,A Survey of Clustering With Deep Learning: From the Perspective of Network Architecture,en,2018,1,1,14,https://doi.org/10.1109/access.2018.2855437,6
IEEE Access,21693536,A Data-Driven Design for Fault Detection of Wind Turbines Using Random Forests and XGboost,en,2018,1,1,12,https://doi.org/10.1109/access.2018.2818678,6
IEEE Access,21693536,Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI),en,2018,1,1,23,https://doi.org/10.1109/access.2018.2870052,2
IEEE Access,21693536,A Blockchain-Based Framework for Data Sharing With Fine-Grained Access Control in Decentralized Storage Systems,en,2018,1,1,14,https://doi.org/10.1109/access.2018.2851611,3
International Journal of Molecular Sciences,14220067,In Vitro Fermentation of Selected Prebiotics and Their Effects on the Composition and Activity of the Adult Gut Microbiota,en,2018,10,10,16,https://doi.org/10.3390/ijms19103097,8
International Journal of Molecular Sciences,14220067,Detection of Aggregation-Competent Tau in Neuron-Derived Extracellular Vesicles,en,2018,2,27,23,https://doi.org/10.3390/ijms19030663,12
International Journal of Molecular Sciences,14220067,Validation of Suitable Housekeeping Genes for the Normalization of mRNA Expression for Studying Tumor Acidosis,en,2018,9,26,15,https://doi.org/10.3390/ijms19102930,5
International Journal of Molecular Sciences,14220067,Exosomes Derived from Human Induced Pluripotent Stem Cells Ameliorate the Aging of Skin Fibroblasts,en,2018,6,9,18,https://doi.org/10.3390/ijms19061715,5
International Journal of Molecular Sciences,14220067,Design of Antibacterial Agents: Alkyl Dihydroxybenzoates against Xanthomonas citri subsp. citri,en,2018,10,6,15,https://doi.org/10.3390/ijms19103050,12
International Journal of Molecular Sciences,14220067,Maize WRKY Transcription Factor ZmWRKY106 Confers Drought and Heat Tolerance in Transgenic Plants,en,2018,10,6,15,https://doi.org/10.3390/ijms19103046,8
International Journal of Molecular Sciences,14220067,Scutellariae Radix and Coptidis Rhizoma Improve Glucose and Lipid Metabolism in T2DM Rats via Regulation of the Metabolic Profiling and MAPK/PI3K/Akt Signaling Pathway,en,2018,11,18,22,https://doi.org/10.3390/ijms19113634,6
International Journal of Molecular Sciences,14220067,Cytotoxic Potential and Molecular Pathway Analysis of Silver Nanoparticles in Human Colon Cancer Cells HCT116,en,2018,8,2,19,https://doi.org/10.3390/ijms19082269,6
International Journal of Molecular Sciences,14220067,Dietary l-Tryptophan Supplementation Enhances the Intestinal Mucosal Barrier Function in Weaned Piglets: Implication of Tryptophan-Metabolizing Microbiota,en,2018,12,21,13,https://doi.org/10.3390/ijms20010020,8
International Journal of Molecular Sciences,14220067,Analysis of Gut Microbiota in Rheumatoid Arthritis Patients: Disease-Related Dysbiosis and Modifications Induced by Etanercept,en,2018,9,27,11,https://doi.org/10.3390/ijms19102938,12
International Journal of Molecular Sciences,14220067,Exosomes Secreted from Induced Pluripotent Stem Cell-Derived Mesenchymal Stem Cells Accelerate Skin Cell Proliferation,en,2018,10,11,16,https://doi.org/10.3390/ijms19103119,4
International Journal of Molecular Sciences,14220067,Combined Analysis of the Fruit Metabolome and Transcriptome Reveals Candidate Genes Involved in Flavonoid Biosynthesis in Actinidia arguta,en,2018,5,15,17,https://doi.org/10.3390/ijms19051471,7
